(es,37.157873881808435)
(al,31.84960618440723)
(io,26.541338487006026)
(percent;,26.541338487006026)
(ic,21.23307078960482)
(811,15.924803092203614)
(sp,15.924803092203614)
(en,15.924803092203614)
(clusters),15.924803092203614)
(name,15.924803092203614)
(hassan,14.708407767879121)
(sets,14.708407767879121)
(computing,13.17593089658115)
(classes.,12.16651418671751)
(java,11.765920008843942)
(flash,10.61653539480241)
(ho,10.61653539480241)
(private,10.61653539480241)
(technique,10.61653539480241)
(release,10.61653539480241)
